"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2013","Homicide Firearm","1999","293","4430141","6.61"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2013","Homicide Firearm","1999","27","624779","4.32"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2013","Homicide Firearm","1999","303","5023823","6.03"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2013","Homicide Firearm","1999","118","2651860","4.45"
"Both Sexes","All Races","California","Both","All Ages","1999","2013","Homicide Firearm","1999","1380","33499204","4.12"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2013","Homicide Firearm","1999","121","4226018","2.86"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2013","Homicide Firearm","1999","84","3386401","2.48"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2013","Homicide Firearm","1999","18","774990","2.32"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2013","Homicide Firearm","1999","145","570220","25.43"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2013","Homicide Firearm","1999","545","15759421","3.46"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2013","Homicide Firearm","1999","438","8045965","5.44"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2013","Homicide Firearm","1999","19","1210300","1.57"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2013","Homicide Firearm","1999","16","1275674","1.25"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2013","Homicide Firearm","1999","689","12359020","5.57"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2013","Homicide Firearm","1999","271","6044970","4.48"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2013","Homicide Firearm","1999","28","2917634","0.96"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2013","Homicide Firearm","1999","88","2678338","3.29"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2013","Homicide Firearm","1999","142","4018053","3.53"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2013","Homicide Firearm","1999","342","4460811","7.67"
